,Unnamed: 0,Unnamed: 0.1,country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,country_total,hotel,lat,long,continent
0,0,0,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,a,-63.616672,-38.416097,South America
1,1,1,Australia,0.0,2.0,0.0,1.0,2.0,3.0,7.0,6.0,6.0,6.0,7.0,40.0,a,133.775136,-25.274398,Oceania
2,2,2,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,14.550072,47.516231,Europe
3,3,3,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,a,4.469936,50.503887,Europe
4,4,4,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,a,-51.92528,-14.235004,South America
5,5,5,Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,a,114.727669,4.535277,Asia
6,6,6,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,104.990963,12.565679,Asia
7,7,7,Canada,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,14.0,a,-106.346771,56.130366,North America
8,8,8,China,0.0,0.0,1.0,0.0,2.0,2.0,4.0,7.0,15.0,6.0,13.0,50.0,a,104.195397,35.86166,Asia
9,9,9,Czechia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,a,15.472962,49.817492,Europe
10,10,10,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,a,9.501785,56.26392,Europe
11,11,11,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,a,-78.183406,-1.831239,South America
12,12,12,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,a,30.802498,26.820553,Africa
13,13,13,Finland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,a,25.748151,61.92411,Europe
14,14,14,France,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,a,2.213749,46.227638,Europe
15,15,15,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,a,10.451526,51.165691,Europe
16,16,16,Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,a,-5.3536,36.1408,Europe
17,17,17,Greece,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,a,21.824312,39.074208,Europe
18,18,18,Hong Kong,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,6.0,2.0,24.0,a,114.109497,22.396428,Asia
19,19,19,Hungary,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,a,19.503304,47.162494,Europe
20,20,20,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,a,-19.020835,64.963051,Europe
21,21,21,India,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,10.0,a,78.96288,20.593684,Asia
22,22,22,Indonesia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,a,113.921327,-0.789275,Asia
23,23,23,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,-7.6920536,53.1423672,Europe
24,24,24,Israel,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,a,34.851612,31.046051,Asia
25,25,25,Italy,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,10.0,10.0,32.0,a,12.56738,41.87194,Europe
26,26,26,Japan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a,138.252924,36.204824,Asia
27,27,27,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,a,37.906193,-0.023559,Africa
28,28,28,Macau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,a,113.543873,22.198745,Asia
29,29,29,Malaysia,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,15.0,a,101.975766,4.210484,Asia
30,30,30,Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,a,73.536101,1.9772276,Asia
31,31,31,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,a,-102.552784,23.634501,North America
32,32,32,Netherlands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,a,5.291266,52.132633,Europe
33,33,33,New Zealand,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,8.0,a,174.885971,-40.900557,Oceania
34,34,34,Norway,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,a,8.468946,60.472024,Europe
35,35,35,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,a,69.345116,30.375321,Asia
36,36,36,Panama,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,a,-80.782127,8.537981,North America
37,37,37,Philippines,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,7.0,a,121.774017,12.879721,Asia
38,38,38,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,a,24.96676,45.943161,Europe
39,39,39,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,a,45.079162,23.885942,Asia
40,40,40,Singapore,0.0,0.0,0.0,2.0,4.0,3.0,13.0,9.0,10.0,11.0,17.0,69.0,a,103.819836,1.352083,Asia
41,41,41,South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,a,127.766922,35.907757,Asia
42,42,42,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,-3.74922,40.463667,Europe
43,43,43,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,a,18.643501,60.128161,Europe
44,44,44,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,a,8.227512,46.818188,Europe
45,45,45,Thailand,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,a,100.992541,15.870032,Asia
46,46,46,U.S. Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,a,-64.896335,18.335765,North America
47,47,47,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,a,53.847818,23.424076,Asia
48,48,48,United Kingdom,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,4.0,4.0,23.0,a,-3.435973,55.378051,Europe
49,49,49,United States,2.0,2.0,4.0,5.0,0.0,13.0,15.0,7.0,7.0,8.0,11.0,74.0,a,-95.712891,37.09024,North America
50,50,50,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,17.873887,-11.202692,Africa
51,51,51,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,b,-63.616672,-38.416097,South America
52,52,52,Australia,0.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,24.0,23.0,13.0,74.0,b,133.775136,-25.274398,Oceania
53,53,53,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,50.5577,26.0667,Asia
54,54,54,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,27.953389,53.709807,Europe
55,55,55,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,b,4.469936,50.503887,Europe
56,56,56,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,b,-51.92528,-14.235004,South America
57,57,57,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,104.990963,12.565679,Asia
58,58,58,Canada,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,8.0,3.0,23.0,b,-106.346771,56.130366,North America
59,59,59,China,0.0,0.0,1.0,0.0,2.0,4.0,10.0,34.0,42.0,27.0,20.0,140.0,b,104.195397,35.86166,Asia
60,60,60,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,15.472962,49.817492,Europe
61,61,61,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,b,9.501785,56.26392,Europe
62,62,62,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,b,30.802498,26.820553,Africa
63,63,63,Finland,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,b,25.748151,61.92411,Europe
64,64,64,France,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,b,2.213749,46.227638,Europe
65,65,65,Germany,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,16.0,b,10.451526,51.165691,Europe
66,66,66,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,b,21.824312,39.074208,Europe
67,67,67,Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,-2.585278,49.465691,Europe
68,68,68,Hong Kong,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,8.0,13.0,12.0,43.0,b,114.109497,22.396428,Asia
69,69,69,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,19.503304,47.162494,Europe
70,70,70,India,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,6.0,6.0,27.0,b,78.96288,20.593684,Asia
71,71,71,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,6.0,19.0,b,113.921327,-0.789275,Asia
72,72,72,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,53.688046,32.427908,Asia
73,73,73,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,b,-7.6920536,53.1423672,Europe
74,74,74,Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,b,34.851612,31.046051,Asia
75,75,75,Italy,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11.0,20.0,38.0,34.0,109.0,b,12.56738,41.87194,Europe
76,76,76,Japan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,9.0,b,138.252924,36.204824,Asia
77,77,77,Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,66.923684,48.019573,Asia
78,78,78,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,37.906193,-0.023559,Africa
79,79,79,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,47.481766,29.31166,Asia
80,80,80,Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,35.862285,33.854721,Asia
81,81,81,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,23.881275,55.169438,Europe
82,82,82,Malaysia,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,6.0,2.0,5.0,25.0,b,101.975766,4.210484,Asia
83,83,83,Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,57.552152,-20.348404,Africa
84,84,84,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,-102.552784,23.634501,North America
85,85,85,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,84.124008,28.394857,Asia
86,86,86,Netherlands,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,11.0,2.0,3.0,23.0,b,5.291266,52.132633,Europe
87,87,87,New Zealand,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,12.0,b,174.885971,-40.900557,Oceania
88,88,88,Norway,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,b,8.468946,60.472024,Europe
89,89,89,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,b,69.345116,30.375321,Asia
90,90,90,Philippines,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,4.0,13.0,b,121.774017,12.879721,Asia
91,91,91,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,19.145136,51.919438,Europe
92,92,92,Portugal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,b,-8.224454,39.399872,Europe
93,93,93,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,b,51.183884,25.354826,Asia
94,94,94,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,b,105.318756,61.52401,Europe
95,95,95,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,b,45.079162,23.885942,Asia
96,96,96,Singapore,0.0,0.0,0.0,2.0,3.0,3.0,5.0,22.0,18.0,27.0,15.0,95.0,b,103.819836,1.352083,Asia
97,97,97,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,b,22.937506,-30.559482,Africa
98,98,98,South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,b,127.766922,35.907757,Asia
99,99,99,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,b,-3.74922,40.463667,Europe
100,100,100,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,b,18.643501,60.128161,Europe
101,101,101,Switzerland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,8.0,b,8.227512,46.818188,Europe
102,102,102,Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,b,120.960515,23.69781,Asia
103,103,103,Thailand,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0,b,100.992541,15.870032,Asia
104,104,104,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,b,53.847818,23.424076,Asia
105,105,105,United Kingdom,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,26.0,20.0,12.0,69.0,b,-3.435973,55.378051,Europe
106,106,106,United States,0.0,0.0,0.0,3.0,4.0,2.0,8.0,32.0,39.0,40.0,25.0,153.0,b,-95.712891,37.09024,North America
